#  step      rmse_trn    rmse_e_trn    rmse_f_trn    rmse_v_trn         lr
 662000      8.77e+00      1.10e-03      8.76e-02      1.63e-02    1.0e-04
 664000      8.23e+00      2.56e-04      8.23e-02      1.71e-02    1.0e-04
 666000      3.39e+00      2.61e-03      3.38e-02      1.68e-02    1.0e-04
 668000      8.77e+00      4.50e-03      8.77e-02      1.72e-02    1.0e-04
 670000      8.79e+00      5.17e-03      8.79e-02      1.39e-02    1.0e-04
 672000      5.01e+00      5.75e-03      5.01e-02      9.93e-03    1.0e-04
 674000      6.88e+00      4.12e-03      6.87e-02      1.65e-02    1.0e-04
 676000      6.92e+00      6.52e-04      6.92e-02      1.04e-02    9.9e-05
 678000      3.10e+00      1.17e-03      3.10e-02      9.84e-03    9.8e-05
 680000      6.70e+00      1.06e-02      6.69e-02      1.64e-02    9.8e-05
 682000      2.47e+00      2.35e-03      2.47e-02      9.02e-03    9.7e-05
 684000      5.62e+00      3.04e-03      5.61e-02      1.78e-02    9.6e-05
 686000      7.11e+00      3.74e-03      7.10e-02      1.34e-02    9.6e-05
 688000      6.84e+00      3.57e-03      6.84e-02      1.60e-02    9.5e-05
 690000      6.96e+00      1.95e-03      6.95e-02      1.58e-02    9.4e-05
 692000      6.06e+00      7.37e-03      6.06e-02      2.17e-02    9.4e-05
 694000      6.44e+00      1.36e-03      6.43e-02      1.17e-02    9.3e-05
 696000      5.52e+00      1.90e-03      5.52e-02      7.17e-03    9.3e-05
 698000      4.67e+00      1.29e-03      4.67e-02      6.38e-03    9.2e-05
 700000      7.69e+00      1.08e-04      7.68e-02      1.39e-02    9.1e-05
 702000      2.76e+00      1.06e-03      2.76e-02      4.46e-03    9.1e-05
 704000      8.11e+00      3.15e-03      8.11e-02      2.64e-02    9.0e-05
